group,contaminant,original_transport_concession,canonical_flow_concession,changed,note
0,Trichloroethylene (TCE),b010205,b010210,True,"contaminant 'Trichloroethylene (TCE)' re-homed from transport concession b010205 onto canonical flow doublet b010210 (pedagogic re-homing, not physical inheritance)."
1,Nitrate (NO3-),b010196,b010219,True,"contaminant 'Nitrate (NO3-)' re-homed from transport concession b010196 onto canonical flow doublet b010219 (pedagogic re-homing, not physical inheritance)."
2,Benzene,b010185,b010201,True,"contaminant 'Benzene' re-homed from transport concession b010185 onto canonical flow doublet b010201 (pedagogic re-homing, not physical inheritance)."
3,Chloride (conservative tracer),b010211,b010236,True,"contaminant 'Chloride (conservative tracer)' re-homed from transport concession b010211 onto canonical flow doublet b010236 (pedagogic re-homing, not physical inheritance)."
4,Chromium (Cr-VI),b010223,b010120,True,"contaminant 'Chromium (Cr-VI)' re-homed from transport concession b010223 onto canonical flow doublet b010120 (pedagogic re-homing, not physical inheritance)."
5,PFOA (perfluorooctanoic acid),b010200,b010223,True,"contaminant 'PFOA (perfluorooctanoic acid)' re-homed from transport concession b010200 onto canonical flow doublet b010223 (pedagogic re-homing, not physical inheritance). NOTE: canonical concession b010223 is ALSO the transport config's id4 (Chromium) concession -- b010223 appears in both source lists; group 5 canonically carries PFOA on this doublet."
6,Perchloroethylene (PCE),b010224,b010227,True,"contaminant 'Perchloroethylene (PCE)' re-homed from transport concession b010224 onto canonical flow doublet b010227 (pedagogic re-homing, not physical inheritance)."
7,Ammonium (NH4+),b010230,b010213,True,"contaminant 'Ammonium (NH4+)' re-homed from transport concession b010230 onto canonical flow doublet b010213 (pedagogic re-homing, not physical inheritance)."
8,Atrazine,b010199,b010207,True,"contaminant 'Atrazine' re-homed from transport concession b010199 onto canonical flow doublet b010207 (pedagogic re-homing, not physical inheritance)."
9,MTBE (methyl tert-butyl ether),b010204,b010204,False,"contaminant 'MTBE (methyl tert-butyl ether)' assigned directly to canonical flow doublet b010204; this case post-dates the M1.3a reconcile and was never re-homed, so there is no prior transport concession."
10,Carbamazepine,b010220,b010220,False,"contaminant 'Carbamazepine' assigned directly to canonical flow doublet b010220; this case post-dates the M1.3a reconcile and was never re-homed, so there is no prior transport concession."
11,Boron (as B),b010226,b010226,False,"contaminant 'Boron (as B)' assigned directly to canonical flow doublet b010226; this case post-dates the M1.3a reconcile and was never re-homed, so there is no prior transport concession."
12,Nickel (Ni2+),b010222,b010222,False,"contaminant 'Nickel (Ni2+)' assigned directly to canonical flow doublet b010222; this case post-dates the M1.3a reconcile and was never re-homed, so there is no prior transport concession."
